Ward_Number,Ward_Name,Zone,Division,Subdivision,Assembly_Constituency,Parliamentary_Constituency,Female_above_60_2014,Male_above_60_2014,Other_above_60_2014,Total
158,Deepanjali Nagar,South,Vijay Nagar,Gaali Anjaneya Temple,ViJayanagar,Bangalore South,2309,2671,1,4981
159,Kengeri,Rajarajeswari Nagar,Kengeri,Kengeri,Yeshwantpura,Bangalore North,2657,3022,,5679
160,Raja Rajeshawari Nagar,Rajarajeswari Nagar,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Rajarajeswari Nagar,Bangalore North,4228,4915,,9143
161,Hosakerehalli,South,Padmanabh Nagar,Padmanabh Nagar,Padmanaba Nagar,Bangalore South,2653,2989,,5642
162,Giri Nagar,South,Basavanagudi,Girinagar,Basavanagudi,Bangalore South,4682,4947,1,9630
163,Katriguppe,South,Basavanagudi,Girinagar,Basavanagudi,Bangalore South,4147,4315,,8462
164,Vidya Peeta Ward,South,Basavanagudi,Basavanagudi,Basavanagudi,Bangalore South,3065,3228,,6293
165,Ganesh Mandir Ward,South,Padmanabh Nagar,Padmanabh Nagar,Padmanaba Nagar,Bangalore South,2325,2385,,4710
166,Kari Sandra,South,Padmanabh Nagar,Banashankari,Padmanaba Nagar,Bangalore South,2301,2218,,4519
167,Yediyur,South,Padmanabh Nagar,Banashankari,Padmanaba Nagar,Bangalore South,2972,3126,,6098
168,Pattabhi Ram Nagar,South,Jayanagar,Jayanagar,Jayanagar,Bangalore South,3187,3318,,6505
169,Byra Sandra,South,Jayanagar,Jayanagar,Jayanagar,Bangalore South,2938,2925,,5863
170,Jayanagar East,South,Jayanagar,Jayanagar,Jayanagar,Bangalore South,2170,2388,,4558
171,Gurappana Palya,South,Jayanagar,Jayanagar,Jayanagar,Bangalore South,2256,2755,,5011
172,Madivala,South,BTM Layout,BTM Layout,B.T.M. Layout,Bangalore South,1891,2300,1,4192
173,Jakka Sandra,South,BTM Layout,Koramangala,B.T.M. Layout,Bangalore South,1237,1841,,3078
174,HSR Layout,Bommanahalli,Bommanahalli,Bommanahalli,Bommanahalli,Bangalore South,2794,3289,3,6086
175,Bommanahalli,Bommanahalli,Bommanahalli,Bommanahalli,Bommanahalli,Bangalore South,1992,2469,,4461
176,BTM Layout,South,BTM Layout,BTM Layout,B.T.M. Layout,Bangalore South,2987,3312,1,6300
177,JP Nagar,South,Jayanagar,J.P Nagar,Jayanagar,Bangalore South,2774,2723,,5497
178,Sarakki,South,Jayanagar,J.P Nagar,Jayanagar,Bangalore South,2789,2850,3,5642
179,Shakambari Narar,South,Jayanagar,J.P Nagar,Jayanagar,Bangalore South,3196,3221,,6417
180,Banashankari Temple Ward,South,Padmanabh Nagar,Banashankari,Padmanaba Nagar,Bangalore South,2034,1984,,4018
181,Kumara Swamy Layout,South,Padmanabh Nagar,Banashankari,Padmanaba Nagar,Bangalore South,3281,3687,1,6969
182,Padmanabha Nagar,South,Padmanabh Nagar,Padmanabh Nagar,Padmanaba Nagar,Bangalore South,2894,3141,,6035
183,Chikkala Sandra,South,Padmanabh Nagar,Padmanabh Nagar,Padmanaba Nagar,Bangalore South,2866,3124,,5990
184,Uttarahalli,Bommanahalli,Bengaluru South,Uttarahalli,Bangalore South,Bangalore South,3528,3928,1,7457
185,Yelchenahalli,Bommanahalli,Bengaluru South,Uttarahalli,Bangalore South,Bangalore South,2419,2906,,5325
186,Jaraganahalli,Bommanahalli,Bommanahalli,Arakere,Bommanahalli,Bangalore South,1488,1832,,3320
187,Puttenahalli,Bommanahalli,Bommanahalli,Arakere,Bommanahalli,Bangalore South,2741,3097,,5838
188,Bilekhalli,Bommanahalli,Bommanahalli,Arakere,Bommanahalli,Bangalore South,2649,2980,1,5630
189,Honga Sandra,Bommanahalli,Bommanahalli,Bommanahalli,Bommanahalli,Bangalore South,1743,2312,1,4056
190,Mangammana Palya,Bommanahalli,Bommanahalli,Bommanahalli,Bommanahalli,Bangalore South,1897,2475,,4372
191,Singa Sandra,Bommanahalli,Bengaluru South,Begur,Bommanahalli,Bangalore South,2085,2439,,4524
192,Begur,Bommanahalli,Bengaluru South,Begur,Bangalore South,Bangalore South,3899,4218,1,8118
193,Arakere,Bommanahalli,Bommanahalli,Arakere,Bommanahalli,Bangalore South,2990,3338,1,6329
194,Gottigere,Bommanahalli,Bengaluru South,Kottanooru,Bangalore South,Bangalore South,3074,3191,,6265
195,Konankunte,Bommanahalli,Bengaluru South,Kottanooru,Bangalore South,Bangalore South,3340,3877,,7217
196,Anjanapura,Bommanahalli,Bengaluru South,Kottanooru,Bangalore South,Bangalore South,2452,2637,,5089
197,Vasanthpura,Bommanahalli,Bengaluru South,Uttarahalli,Bangalore South,Bangalore South,3802,4309,1,8112
198,Hemmigepura,Rajarajeswari Nagar,Kengeri,Kengeri,Yeshwantpura,Bangalore North,2861,3242,,6103
